"","X","win","home","Kuzma","Ingram","Zubac","Ball","Hart","McGee","Caldwell.Pope","Chandler","Rondo","Beasley","James","Bullock"
"1","clippers",0,1,1,1,1,1,1,0,0,0,0,0,0,0
"2","kings",1,1,1,1,0,1,1,1,0,0,0,0,0,0
"3","thunder",0,1,1,1,0,1,1,1,0,0,0,0,0,0
"4","knicks",0,1,0,1,0,1,1,1,1,0,0,0,0,0
"5","timberwolves",0,0,0,1,1,1,1,1,0,0,0,0,0,0
"6","mavericks",1,0,1,1,0,1,1,1,0,0,0,0,0,0
"7","pistons",1,1,1,1,0,1,1,1,0,0,0,0,0,0
"8","jazz",0,0,1,1,0,1,1,1,0,0,0,0,0,0
"9","cavaliers",0,1,1,1,0,1,1,1,0,0,0,0,0,0
"10","bulls",1,1,1,1,0,1,0,0,1,1,0,0,0,0
"11","thunder",1,0,1,1,0,1,0,0,1,1,0,0,0,0
"12","rockets",0,0,1,1,0,1,0,0,1,1,0,0,0,0
"13","warriors",0,1,1,1,0,0,1,0,1,1,0,0,0,0
"14","timberwolves",0,1,1,1,1,0,0,0,1,0,1,0,0,0
"15","suns",1,1,0,1,1,0,0,0,1,0,1,1,0,0
"16","76s",0,1,0,1,1,0,0,0,1,0,1,1,0,0
"17","clippers",1,0,1,1,1,0,0,0,0,0,1,0,1,0
"18","warriors",0,0,1,1,1,0,0,0,1,0,1,0,0,0
"19","pacers",0,0,1,1,1,0,0,0,0,0,1,0,1,0
"20","celtics",1,0,1,1,0,0,0,1,0,0,1,0,1,0
"21","76s",0,0,1,1,0,0,0,1,0,0,0,0,1,1
"22","Hawks",0,0,1,1,0,0,0,1,0,0,0,0,1,1
"23","Rockets",1,1,1,1,0,0,0,1,0,0,0,0,1,1
"24","Pelicans",0,0,1,1,0,0,0,1,0,0,0,0,1,1
